R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,location,weight,height,HU
5215.90723,6903.93628,9751.38623,11577.83594,33786.9834,31267.59668,6,top+bot,62.14,0.66,80.1799
5131.58691,6822.75171,9710.217285,11378.68164,32400.20606,29785.77539,6,top+bot,58.86,0.6,77.0218
5418.408445,6978.08496,9841.44385,11416.90821,32158.85156,30104.05274,6,top+bot,58.86,0.68,82.5517
4539.353025,6003.870115,9036.590085,10713.73389,31651.50684,29095.97266,6,top+bot,60,0.68,82.1952
5328.776855,7247.617675,10085.88477,12093.18262,32813.02051,31261.47656,6,top+bot,60.9,0.71,83.847
4854.0603,6619.790285,10060.1543,11989.83008,34805.69629,31989.83984,7,top+bot,58.44,0.65,80.6974
5572.442625,6922.338135,9553.77539,11502.79932,32809.50196,30662.25977,7,top+bot,58.14,0.61,78.0049
4713.304935,6626.826175,9892.390625,11877.51074,33539.59473,31195.98535,7,top+bot,59.88,0.62,78.1211
4970.24951,6722.082765,9992.739745,12029.94385,35264.26758,32874.89356,7,top+bot,58.19,0.64,80.0982
5210.595705,6467.16309,9460.63037,11222.47315,31750.56348,29074.54981,7,top+bot,57.18,0.67,82.4336
4855.388185,6059.07544,9018.064455,10674.56348,29891.13379,27230.38379,7,top+bot,58.69,0.69,83.2484
5415.75293,6367.0354,9376.749025,11081.36622,32720.50293,30125.47461,7,top+bot,59.04,0.6,76.9578
5834.69849,6905.0188,9955.6875,11785.48486,33627.08594,30831.80371,7,top+bot,59.04,0.73,85.6289
5662.074465,6675.536865,9468.34961,11251.73292,33352.04493,31517.32227,7,top+bot,58.76,0.67,81.9295
5479.49121,6510.46167,9457.54297,11208.7876,32951.79981,30394.78614,7,top+bot,59.53,0.67,81.6849
5246.448245,6460.668455,9435.41455,11214.92285,33341.98731,31011.13965,7,top+bot,61.73,0.65,79.6223
5672.033445,6720.45923,9770.941895,11480.61866,32290.08887,29496.87891,7,top+bot,60,0.6,76.6167
4853.39624,6439.560305,9400.936035,11247.95752,32216.67578,29646.22364,7,top+bot,59.11,0.68,82.4734
5527.95874,7210.813965,10153.81299,12203.61426,34085.65625,32573.14258,7,top+bot,60,0.69,82.8447
5714.525635,7161.56201,10006.11963,11902.05127,32998.56153,30725.30274,7,top+bot,60.49,0.64,79.3329
5469.53198,6877.957275,10114.70264,12007.2915,34006.21094,31655.64942,7,top+bot,60.32,0.6,76.5032
4695.378905,6617.625245,9859.969725,11876.56739,33293.21387,31531.40039,7,top+bot,58.65,0.68,82.6175
6524.531495,7615.6543,10655.56055,12617.49561,34289.80274,31957.4004,7,top+bot,58.32,0.72,85.233
4620.353515,7274.13794,10745.10254,13090.84033,34860,32677.19532,7,top+bot,61.19,0.64,79.101
4686.74756,6503.42578,9936.646975,11896.3877,35222.03126,32465.41797,7,top+bot,58.7,0.58,75.5808
5186.029785,6571.07959,9434.90039,11237.5752,30729.33496,28379.23828,8,top+bot,59.12,0.55,73.069
4904.51953,6863.885255,9740.57959,11642.01856,33046.83203,31036.23438,8,top+bot,59.7,0.57,74.4373
4370.7124,6447.137695,9467.83545,11330.07324,33278.12891,31057.65723,8,top+bot,59.2,0.51,69.6794
4496.86084,6306.958985,8732.969235,10530.62549,28963.93457,27633.125,8,top+bot,59.47,0.58,75.2973
4962.282225,6330.231935,9306.24707,11009.16163,31326.68555,29069.65332,8,top+bot,58.65,0.53,71.6132
5073.16016,6703.680905,9685.001955,11518.84522,32896.48926,30670.82911,8,top+bot,57.55,0.53,72.0579
4407.893065,6620.872805,9442.61914,11245.12598,32097.50684,29991.43164,8,top+bot,60.15,0.55,72.6691
4476.27881,6528.322265,9036.075685,10863.33545,30786.65625,29176.76563,8,top+bot,58.66,0.56,74.0446
4612.38623,6526.698485,9111.72363,10935.06885,30488.98731,28920.30859,8,top+bot,60.3,0.6,76.5103
4414.532225,6693.938965,9773.51514,11872.79151,33830.72852,32202.22852,8,top+bot,60.39,0.68,82.0736
4872.650395,7261.689455,9901.138675,12019.08936,33000.57129,31555.26953,8,top+bot,59.42,0.6,76.8227
4999.463135,7194.576905,10095.14746,12000.21289,32274.50098,30137.10352,8,top+bot,54.64,0.68,83.8841
5401.14624,7492.25366,10323.63526,12316.87695,32984.48242,31038.6836,8,top+bot,60.86,0.66,80.59
6156.70923,7195.118405,10066.32959,11765.1919,33645.69141,30889.94922,8,top+bot,56.92,0.64,80.5231
4947.675785,7384.00781,10363.26075,12523.58154,33649.21094,31888.23536,8,top+bot,58.81,0.62,78.4889
5855.94458,7563.69629,10340.10303,12402.76807,34385.33789,32402.98731,8,top+bot,59.44,0.58,75.3084
4770.40381,7224.885985,10146.6084,12192.2876,33941.85156,31656.87403,8,top+bot,58.37,0.62,78.6404
5357.98999,7061.434325,9430.783205,11348.95069,32166.39356,30148.73243,8,top+bot,60.26,0.65,80.1014
4775.71558,6972.13135,9781.233885,11607.56738,32739.10645,30673.27735,8,top+bot,62.23,0.57,73.4926
5001.454835,7271.9729,10411.11914,12483.46826,34698.09375,32726.77149,8,top+bot,60,0.67,81.5359
5646.139895,6844.40088,9693.23535,11333.37647,30894.7627,28617.94629,9,top+bot,60,0.42,60.6026
5310.186525,7196.741945,10011.26563,11959.15479,31527.31055,29616.23242,9,top+bot,57.84,0.38,57.2976
4926.42969,7538.258545,11247.36426,13639.22217,35049.5625,32606.19336,9,top+bot,58.43,0.4,59.2421
5309.52246,7719.02954,10659.16211,12852.98828,32146.28125,30274.81934,9,top+bot,58.05,0.45,64.6469
4929.74927,7756.37402,11551.5,14003.07959,35621.26953,33292.93653,9,top+bot,59.78,0.47,65.7744
4941.7002,8351.18628,11346.68409,14079.53174,35742.95313,34779.04297,9,top+bot,54.74,0.46,67.1619
5034.65161,7226.50952,9697.8667,11736.4043,31748.55079,30486.59571,9,top+bot,59.46,0.5,68.6862
4846.093015,7288.750975,10195.49659,12386.25049,32913.58497,31777.45117,9,top+bot,59.22,0.48,66.9693
4981.53662,7287.6687,10337.01514,12536.32373,33553.17188,31615.86426,9,top+bot,59.39,0.5,68.7162
5140.218015,7553.412845,10298.41944,12530.66065,31651.00391,30246.66407,9,top+bot,61.43,0.52,69.627
5041.291015,8090.854495,10789.87403,13378.71729,33016.16114,32243.84961,9,top+bot,59.68,0.6,76.7303
4728.575685,7428.38843,10477.50439,12766.15332,32477.63965,31009.91602,9,top+bot,57.92,0.5,69.3463
4887.921145,7209.731445,10312.82862,12403.71191,32424.84278,30923.00196,9,top+bot,60.37,0.53,70.9193
5504.7207,7271.9729,9995.3125,11976.61621,32032.64454,30129.14649,9,top+bot,58.19,0.45,64.58
5621.573975,7390.50244,10299.96338,12389.08203,32906.042,30984.82129,9,top+bot,59.76,0.78,88.3557
5209.93164,7740.137455,10540.28711,12881.3042,32645.0791,31655.64942,9,top+bot,59.84,0.57,74.385
6288.833005,8386.90796,11468.13281,13819.9712,34637.75391,32986.90235,9,top+bot,58.28,0.6,77.2283
4770.403805,7529.598635,10603.06934,13054.50244,33574.79395,32206.51172,9,top+bot,59.13,0.56,73.8652
5955.535645,7623.772705,10801.71045,13025.71436,33731.67383,31875.99512,9,top+bot,61.17,0.6,76.2021
5221.218505,7661.658935,10779.06739,13156.91065,33765.36133,32046.7627,9,top+bot,58.74,0.51,69.8726
