410;435;460;485;510;535;560;585;610;645;680;705;730;760;810;860;900;940;pH
642;200;1519;1367;1622;251;102;237;22;67;67;1183;48;229;329;381;812;255;8.6
642;200;1516;1369;1620;251;102;237;22;67;67;1181;48;229;329;381;812;255;8.6
642;200;1516;1366;1622;251;102;237;22;67;67;1181;48;229;329;381;812;255;8.6
639;185;1456;1354;1559;236;92;208;21;58;65;1171;44;234;327;374;814;251;8.6
639;185;1456;1355;1561;236;92;208;21;58;65;1170;44;234;327;374;814;251;8.6
639;185;1457;1353;1558;236;92;208;21;58;65;1170;44;234;327;374;814;251;8.6
639;185;1457;1356;1559;236;92;208;21;58;65;1170;44;234;327;374;814;251;8.6
649;224;1471;1416;1643;277;101;224;20;64;64;1185;48;225;327;383;813;247;8.4
649;224;1471;1415;1641;277;101;224;20;64;64;1183;48;225;327;383;813;247;8.4
649;224;1471;1417;1641;277;101;224;20;64;64;1184;48;225;327;383;813;247;8.4
649;224;1473;1418;1642;277;101;224;20;64;64;1182;48;225;327;383;813;247;8.4
650;190;1522;1412;1578;258;103;230;22;67;66;1179;48;227;327;381;812;254;8.4
650;190;1521;1414;1580;258;103;230;22;67;66;1181;48;227;327;381;812;254;8.4
650;190;1519;1414;1579;258;103;230;22;67;66;1179;48;227;327;381;812;254;8.4
650;190;1519;1415;1582;258;103;230;22;67;66;1180;48;227;327;381;812;254;8.4
663;197;1486;1443;1672;249;92;229;20;62;66;1194;46;233;335;391;817;254;8.2
663;197;1485;1441;1673;249;92;229;20;62;66;1194;46;233;335;391;817;254;8.2
663;197;1484;1439;1675;249;92;229;20;62;66;1192;46;233;335;391;817;254;8.2
663;197;1485;1441;1671;249;92;229;20;62;66;1196;46;233;335;391;817;254;8.2
632;190;1487;1382;1622;243;92;208;21;57;65;1171;46;235;333;383;814;245;8.2
632;190;1487;1384;1624;243;92;208;21;57;65;1173;46;235;333;383;814;245;8.2
666;198;1547;1416;1673;258;92;230;20;62;66;1199;46;234;336;392;816;253;8.2
632;190;1487;1384;1622;243;92;208;21;57;65;1169;46;235;333;383;814;245;8.2
632;190;1488;1383;1622;243;92;208;21;57;65;1171;46;235;333;383;814;245;8.2
666;198;1546;1418;1674;258;92;230;20;62;66;1197;46;234;336;392;816;253;8.2
666;198;1546;1419;1674;258;92;230;20;62;66;1197;46;234;336;392;816;253;8.2
666;198;1548;1416;1673;258;92;230;20;62;66;1199;46;234;336;392;816;253;8.2
