410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,pH
560,184.0,1329.0,1235.0,1418.0,181.0,112.0,277.0,53.0,115.0,110.0,902.0,95.0,258.0,328.0,395.0,637.0,236.0,4.01
547,162.0,1291.0,1217.0,1377.0,160.0,96.0,269.0,57.0,120.0,114.0,887.0,95.0,265.0,334.0,400.0,619.0,238.0,4.02
559,195.0,1324.0,1233.0,1419.0,191.0,113.0,274.0,51.0,109.0,108.0,902.0,95.0,258.0,329.0,395.0,636.0,234.0,4.07
546,182.0,1292.0,1221.0,1381.0,175.0,97.0,267.0,52.0,112.0,111.0,890.0,94.0,263.0,333.0,398.0,625.0,235.0,4.07
561,174.0,1330.0,1241.0,1418.0,173.0,115.0,276.0,54.0,117.0,110.0,904.0,94.0,257.0,328.0,393.0,639.0,238.0,4.09
556,181.0,1315.0,1229.0,1403.0,178.0,102.0,276.0,53.0,116.0,109.0,903.0,94.0,255.0,327.0,392.0,634.0,235.0,4.09
535,176.0,1283.0,1204.0,1366.0,162.0,83.0,245.0,53.0,104.0,104.0,863.0,98.0,241.0,302.0,359.0,610.0,225.0,4.1
591,178.0,1430.0,1330.0,1541.0,184.0,106.0,285.0,53.0,123.0,106.0,974.0,88.0,249.0,314.0,369.0,686.0,249.0,4.1
696,592.0,1675.0,1637.0,1825.0,622.0,101.0,195.0,28.0,68.0,101.0,1260.0,118.0,269.0,420.0,498.0,849.0,223.0,4.1
533,169.0,1281.0,1209.0,1381.0,167.0,92.0,256.0,53.0,109.0,104.0,853.0,93.0,243.0,296.0,368.0,607.0,225.0,4.1
553,177.0,1306.0,1218.0,1392.0,175.0,101.0,275.0,53.0,116.0,108.0,897.0,93.0,254.0,324.0,390.0,628.0,234.0,4.12
542,169.0,1282.0,1209.0,1382.0,165.0,96.0,271.0,55.0,117.0,114.0,887.0,95.0,265.0,337.0,402.0,625.0,235.0,4.13
547,189.0,1306.0,1223.0,1384.0,180.0,97.0,265.0,52.0,109.0,111.0,892.0,95.0,263.0,333.0,398.0,624.0,234.0,4.17
552,172.0,1319.0,1228.0,1390.0,160.0,84.0,247.0,56.0,108.0,107.0,877.0,100.0,243.0,314.0,364.0,621.0,231.0,4.2
601,183.0,1418.0,1343.0,1547.0,192.0,110.0,282.0,53.0,125.0,105.0,1007.0,89.0,251.0,314.0,368.0,708.0,256.0,4.2
541,165.0,1295.0,1189.0,1375.0,165.0,92.0,259.0,52.0,110.0,105.0,853.0,91.0,235.0,307.0,367.0,604.0,223.0,4.2
681,593.0,1657.0,1628.0,1827.0,610.0,101.0,199.0,28.0,68.0,101.0,1256.0,120.0,268.0,421.0,498.0,845.0,224.0,4.2
555,180.0,1315.0,1232.0,1408.0,177.0,100.0,273.0,52.0,116.0,108.0,897.0,93.0,253.0,325.0,391.0,631.0,232.0,4.21
544,172.0,1285.0,1213.0,1385.0,164.0,93.0,267.0,55.0,114.0,114.0,887.0,97.0,265.0,336.0,402.0,625.0,235.0,4.25
548,169.0,1298.0,1225.0,1387.0,166.0,97.0,271.0,55.0,117.0,113.0,889.0,94.0,264.0,335.0,400.0,626.0,236.0,4.27
552,165.0,1317.0,1229.0,1391.0,155.0,84.0,250.0,56.0,111.0,108.0,877.0,101.0,243.0,314.0,360.0,622.0,230.0,4.3
602,166.0,1414.0,1331.0,1518.0,175.0,106.0,296.0,55.0,132.0,107.0,990.0,88.0,252.0,315.0,366.0,692.0,259.0,4.3
549,187.0,1307.0,1226.0,1391.0,181.0,97.0,265.0,52.0,109.0,111.0,894.0,94.0,263.0,333.0,398.0,627.0,236.0,4.3
539,167.0,1288.0,1178.0,1369.0,164.0,94.0,261.0,53.0,111.0,106.0,867.0,93.0,234.0,311.0,378.0,614.0,227.0,4.3
693,563.0,1675.0,1627.0,1809.0,580.0,100.0,204.0,29.0,69.0,104.0,1245.0,121.0,275.0,421.0,500.0,842.0,227.0,4.3
542,175.0,1282.0,1202.0,1383.0,167.0,94.0,267.0,54.0,113.0,113.0,883.0,95.0,263.0,333.0,399.0,622.0,233.0,4.34
548,186.0,1303.0,1225.0,1385.0,178.0,96.0,267.0,52.0,110.0,111.0,895.0,94.0,262.0,334.0,398.0,627.0,234.0,4.37
604,169.0,1437.0,1323.0,1512.0,177.0,107.0,276.0,55.0,131.0,107.0,994.0,89.0,251.0,314.0,368.0,698.0,247.0,4.4
555,173.0,1325.0,1236.0,1400.0,160.0,85.0,251.0,56.0,108.0,108.0,883.0,100.0,243.0,319.0,366.0,623.0,229.0,4.4
541,172.0,1265.0,1213.0,1374.0,170.0,94.0,260.0,53.0,111.0,106.0,862.0,89.0,246.0,307.0,369.0,609.0,226.0,4.4
546,174.0,1298.0,1217.0,1389.0,174.0,100.0,272.0,51.0,116.0,106.0,884.0,91.0,248.0,320.0,384.0,627.0,234.0,4.48
546,179.0,1303.0,1223.0,1385.0,173.0,96.0,268.0,53.0,113.0,112.0,893.0,94.0,263.0,333.0,398.0,627.0,236.0,4.48
525,172.0,1267.0,1165.0,1316.0,160.0,81.0,236.0,54.0,104.0,107.0,808.0,96.0,241.0,308.0,374.0,601.0,219.0,4.5
610,170.0,1483.0,1376.0,1579.0,182.0,111.0,298.0,56.0,134.0,109.0,994.0,90.0,257.0,322.0,377.0,711.0,263.0,4.5
695,591.0,1680.0,1624.0,1843.0,616.0,103.0,199.0,28.0,68.0,101.0,1251.0,119.0,269.0,417.0,499.0,839.0,222.0,4.5
544,179.0,1292.0,1211.0,1383.0,177.0,100.0,271.0,52.0,113.0,107.0,886.0,92.0,250.0,319.0,384.0,627.0,232.0,4.55
544,180.0,1283.0,1209.0,1387.0,171.0,95.0,266.0,54.0,111.0,113.0,883.0,96.0,264.0,335.0,400.0,620.0,233.0,4.57
617,172.0,1478.0,1379.0,1574.0,182.0,111.0,299.0,56.0,133.0,108.0,990.0,90.0,255.0,322.0,377.0,713.0,263.0,4.6
692,565.0,1669.0,1624.0,1794.0,594.0,103.0,204.0,29.0,69.0,102.0,1232.0,117.0,272.0,415.0,485.0,840.0,227.0,4.6
541,170.0,1293.0,1181.0,1369.0,165.0,94.0,260.0,53.0,111.0,106.0,869.0,94.0,236.0,314.0,378.0,615.0,228.0,4.6
548,178.0,1302.0,1223.0,1386.0,174.0,98.0,271.0,52.0,114.0,111.0,891.0,92.0,262.0,332.0,397.0,626.0,235.0,4.61
546,176.0,1293.0,1210.0,1385.0,174.0,99.0,271.0,52.0,114.0,107.0,887.0,92.0,249.0,319.0,383.0,624.0,232.0,4.64
557,170.0,1319.0,1231.0,1415.0,171.0,110.0,281.0,55.0,119.0,110.0,899.0,94.0,256.0,327.0,393.0,636.0,237.0,4.66
699,596.0,1679.0,1638.0,1819.0,617.0,101.0,196.0,27.0,68.0,100.0,1263.0,120.0,266.0,423.0,501.0,852.0,219.0,4.7
603,212.0,1435.0,1349.0,1525.0,201.0,95.0,262.0,53.0,107.0,112.0,918.0,102.0,259.0,332.0,401.0,659.0,237.0,4.7
547,176.0,1326.0,1179.0,1378.0,162.0,83.0,235.0,55.0,107.0,111.0,884.0,99.0,251.0,327.0,388.0,617.0,230.0,4.7
550,179.0,1302.0,1222.0,1396.0,177.0,101.0,274.0,52.0,115.0,107.0,896.0,92.0,252.0,322.0,387.0,632.0,234.0,4.71
548,182.0,1306.0,1224.0,1384.0,176.0,97.0,269.0,52.0,112.0,111.0,892.0,93.0,262.0,333.0,398.0,626.0,236.0,4.75
547,158.0,1287.0,1201.0,1380.0,159.0,100.0,279.0,57.0,121.0,114.0,888.0,96.0,263.0,333.0,398.0,631.0,237.0,4.76
544,180.0,1283.0,1209.0,1387.0,171.0,95.0,266.0,54.0,111.0,113.0,883.0,96.0,264.0,335.0,400.0,620.0,233.0,4.77
552,181.0,1308.0,1219.0,1396.0,177.0,100.0,272.0,52.0,114.0,109.0,900.0,94.0,254.0,325.0,389.0,631.0,234.0,4.78
